2026-03-02 21:12:15,099 - root - INFO - [Worker-0/PID-24814] - Worker 0 (PID: 24814) logging initialized
2026-03-02 21:12:15,100 - root - INFO - [Worker-0/PID-24814] - Worker 0 starting (PID: 24814)
2026-03-02 21:12:15,920 - root - INFO - [Worker-0/PID-24814] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 21:12:15,921 - root - INFO - [Worker-0/PID-24814] - Worker 0 initialized successfully
2026-03-02 21:13:35,162 - root - INFO - [Worker-0/PID-24814] - [825279456] {'request_id': 825279456, 'input_seq_len': 337, 'output_seq_len': 1430, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.312644', 'http_post_time': '2026-03-02 21:13:01.314690', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:35.162161', 'zmq_push_time': '2026-03-02 21:13:35.162161', 'total_time_s': 33.84951686859131, 'http_queue_latency_s': 0.0020453929901123047}
2026-03-02 21:13:35,944 - root - INFO - [Worker-0/PID-24814] - [825250272] {'request_id': 825250272, 'input_seq_len': 189, 'output_seq_len': 1469, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.278900', 'http_post_time': '2026-03-02 21:13:01.278935', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:35.943967', 'zmq_push_time': '2026-03-02 21:13:35.943967', 'total_time_s': 34.665066719055176, 'http_queue_latency_s': 3.504753112792969e-05}
2026-03-02 21:13:36,342 - root - INFO - [Worker-0/PID-24814] - [825223648] {'request_id': 825223648, 'input_seq_len': 502, 'output_seq_len': 1491, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.255779', 'http_post_time': '2026-03-02 21:13:01.255823', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:36.341930', 'zmq_push_time': '2026-03-02 21:13:36.341930', 'total_time_s': 35.086151361465454, 'http_queue_latency_s': 4.4345855712890625e-05}
2026-03-02 21:13:37,701 - root - INFO - [Worker-0/PID-24814] - [825180128] {'request_id': 825180128, 'input_seq_len': 317, 'output_seq_len': 1560, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.218168', 'http_post_time': '2026-03-02 21:13:01.219023', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:37.701081', 'zmq_push_time': '2026-03-02 21:13:37.701081', 'total_time_s': 36.48291325569153, 'http_queue_latency_s': 0.0008554458618164062}
2026-03-02 21:13:39,164 - root - INFO - [Worker-0/PID-24814] - [825258464] {'request_id': 825258464, 'input_seq_len': 889, 'output_seq_len': 1615, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.286093', 'http_post_time': '2026-03-02 21:13:01.286139', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:39.164596', 'zmq_push_time': '2026-03-02 21:13:39.164596', 'total_time_s': 37.87850284576416, 'http_queue_latency_s': 4.57763671875e-05}
2026-03-02 21:13:40,769 - root - INFO - [Worker-0/PID-24814] - [825229280] {'request_id': 825229280, 'input_seq_len': 677, 'output_seq_len': 1693, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.260644', 'http_post_time': '2026-03-02 21:13:01.260716', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:40.769419', 'zmq_push_time': '2026-03-02 21:13:40.769419', 'total_time_s': 39.50877523422241, 'http_queue_latency_s': 7.224082946777344e-05}
2026-03-02 21:13:41,143 - root - INFO - [Worker-0/PID-24814] - [825245152] {'request_id': 825245152, 'input_seq_len': 568, 'output_seq_len': 1707, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.273857', 'http_post_time': '2026-03-02 21:13:01.273893', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:41.143307', 'zmq_push_time': '2026-03-02 21:13:41.143307', 'total_time_s': 39.869449615478516, 'http_queue_latency_s': 3.600120544433594e-05}
2026-03-02 21:13:41,253 - root - INFO - [Worker-0/PID-24814] - [825191904] {'request_id': 825191904, 'input_seq_len': 677, 'output_seq_len': 1720, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.227526', 'http_post_time': '2026-03-02 21:13:01.227729', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:41.253338', 'zmq_push_time': '2026-03-02 21:13:41.253338', 'total_time_s': 40.02581167221069, 'http_queue_latency_s': 0.000202178955078125}
2026-03-02 21:13:41,337 - root - INFO - [Worker-0/PID-24814] - [825256928] {'request_id': 825256928, 'input_seq_len': 490, 'output_seq_len': 1715, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.284479', 'http_post_time': '2026-03-02 21:13:01.284514', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:41.337721', 'zmq_push_time': '2026-03-02 21:13:41.337721', 'total_time_s': 40.05324196815491, 'http_queue_latency_s': 3.4332275390625e-05}
2026-03-02 21:13:41,644 - root - INFO - [Worker-0/PID-24814] - [825241568] {'request_id': 825241568, 'input_seq_len': 400, 'output_seq_len': 1731, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.270733', 'http_post_time': '2026-03-02 21:13:01.270769', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:41.644497', 'zmq_push_time': '2026-03-02 21:13:41.644497', 'total_time_s': 40.37376403808594, 'http_queue_latency_s': 3.600120544433594e-05}
2026-03-02 21:13:43,816 - root - INFO - [Worker-0/PID-24814] - [825245664] {'request_id': 825245664, 'input_seq_len': 642, 'output_seq_len': 1829, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.274369', 'http_post_time': '2026-03-02 21:13:01.274405', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:43.816638', 'zmq_push_time': '2026-03-02 21:13:43.816638', 'total_time_s': 42.542269468307495, 'http_queue_latency_s': 3.5762786865234375e-05}
2026-03-02 21:13:43,863 - root - INFO - [Worker-0/PID-24814] - [825234912] {'request_id': 825234912, 'input_seq_len': 400, 'output_seq_len': 1833, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.265313', 'http_post_time': '2026-03-02 21:13:01.265352', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:43.863174', 'zmq_push_time': '2026-03-02 21:13:43.863174', 'total_time_s': 42.59786033630371, 'http_queue_latency_s': 3.8623809814453125e-05}
2026-03-02 21:13:44,236 - root - INFO - [Worker-0/PID-24814] - [825231840] {'request_id': 825231840, 'input_seq_len': 239, 'output_seq_len': 1850, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.262703', 'http_post_time': '2026-03-02 21:13:01.262760', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:44.236502', 'zmq_push_time': '2026-03-02 21:13:44.236502', 'total_time_s': 42.97379970550537, 'http_queue_latency_s': 5.7697296142578125e-05}
2026-03-02 21:13:44,460 - root - INFO - [Worker-0/PID-24814] - [825198048] {'request_id': 825198048, 'input_seq_len': 325, 'output_seq_len': 1865, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.233855', 'http_post_time': '2026-03-02 21:13:01.234065', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:44.460415', 'zmq_push_time': '2026-03-02 21:13:44.460415', 'total_time_s': 43.22656011581421, 'http_queue_latency_s': 0.000209808349609375}
2026-03-02 21:13:45,014 - root - INFO - [Worker-0/PID-24814] - [825299936] {'request_id': 825299936, 'input_seq_len': 412, 'output_seq_len': 1876, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.325098', 'http_post_time': '2026-03-02 21:13:01.325141', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:45.014706', 'zmq_push_time': '2026-03-02 21:13:45.014706', 'total_time_s': 43.68960785865784, 'http_queue_latency_s': 4.267692565917969e-05}
2026-03-02 21:13:47,356 - root - INFO - [Worker-0/PID-24814] - [825177568] {'request_id': 825177568, 'input_seq_len': 329, 'output_seq_len': 1998, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.215660', 'http_post_time': '2026-03-02 21:13:01.217495', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.355961', 'zmq_push_time': '2026-03-02 21:13:47.355961', 'total_time_s': 46.140300989151, 'http_queue_latency_s': 0.0018353462219238281}
2026-03-02 21:13:47,462 - root - INFO - [Worker-0/PID-24814] - [825240032] {'request_id': 825240032, 'input_seq_len': 530, 'output_seq_len': 1994, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.269416', 'http_post_time': '2026-03-02 21:13:01.269461', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.462317', 'zmq_push_time': '2026-03-02 21:13:47.462317', 'total_time_s': 46.19290065765381, 'http_queue_latency_s': 4.482269287109375e-05}
2026-03-02 21:13:47,559 - root - INFO - [Worker-0/PID-24814] - [825296864] {'request_id': 825296864, 'input_seq_len': 506, 'output_seq_len': 1990, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.322662', 'http_post_time': '2026-03-02 21:13:01.322739', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.559892', 'zmq_push_time': '2026-03-02 21:13:47.559892', 'total_time_s': 46.23722982406616, 'http_queue_latency_s': 7.700920104980469e-05}
2026-03-02 21:13:47,760 - root - INFO - [Worker-0/PID-24814] - [825293792] {'request_id': 825293792, 'input_seq_len': 700, 'output_seq_len': 1999, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.320254', 'http_post_time': '2026-03-02 21:13:01.320790', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.760137', 'zmq_push_time': '2026-03-02 21:13:47.760137', 'total_time_s': 46.43988370895386, 'http_queue_latency_s': 0.0005359649658203125}
2026-03-02 21:13:47,827 - root - INFO - [Worker-0/PID-24814] - [825200096] {'request_id': 825200096, 'input_seq_len': 699, 'output_seq_len': 2016, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.235572', 'http_post_time': '2026-03-02 21:13:01.235618', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.827266', 'zmq_push_time': '2026-03-02 21:13:47.827266', 'total_time_s': 46.59169363975525, 'http_queue_latency_s': 4.601478576660156e-05}
2026-03-02 21:13:47,833 - root - INFO - [Worker-0/PID-24814] - [825257440] {'request_id': 825257440, 'input_seq_len': 370, 'output_seq_len': 2008, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.285042', 'http_post_time': '2026-03-02 21:13:01.285077', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.833137', 'zmq_push_time': '2026-03-02 21:13:47.833137', 'total_time_s': 46.548094749450684, 'http_queue_latency_s': 3.4332275390625e-05}
2026-03-02 21:13:47,982 - root - INFO - [Worker-0/PID-24814] - [825197024] {'request_id': 825197024, 'input_seq_len': 621, 'output_seq_len': 2023, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.233754', 'http_post_time': '2026-03-02 21:13:01.233914', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:47.982222', 'zmq_push_time': '2026-03-02 21:13:47.982222', 'total_time_s': 46.74846816062927, 'http_queue_latency_s': 0.00015997886657714844}
2026-03-02 21:13:48,518 - root - INFO - [Worker-0/PID-24814] - [825238496] {'request_id': 825238496, 'input_seq_len': 427, 'output_seq_len': 2041, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.268342', 'http_post_time': '2026-03-02 21:13:01.268414', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:48.518091', 'zmq_push_time': '2026-03-02 21:13:48.518091', 'total_time_s': 47.24974966049194, 'http_queue_latency_s': 7.271766662597656e-05}
2026-03-02 21:13:49,229 - root - INFO - [Worker-0/PID-24814] - [825275360] {'request_id': 825275360, 'input_seq_len': 656, 'output_seq_len': 2068, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.312389', 'http_post_time': '2026-03-02 21:13:01.314201', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:49.229600', 'zmq_push_time': '2026-03-02 21:13:49.229600', 'total_time_s': 47.917211055755615, 'http_queue_latency_s': 0.0018126964569091797}
2026-03-02 21:13:49,264 - root - INFO - [Worker-0/PID-24814] - [825276896] {'request_id': 825276896, 'input_seq_len': 181, 'output_seq_len': 2070, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.312494', 'http_post_time': '2026-03-02 21:13:01.314398', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:49.264579', 'zmq_push_time': '2026-03-02 21:13:49.264579', 'total_time_s': 47.95208501815796, 'http_queue_latency_s': 0.0019042491912841797}
2026-03-02 21:13:49,314 - root - INFO - [Worker-0/PID-24814] - [825198560] {'request_id': 825198560, 'input_seq_len': 334, 'output_seq_len': 2083, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.234349', 'http_post_time': '2026-03-02 21:13:01.234431', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:49.314152', 'zmq_push_time': '2026-03-02 21:13:49.314152', 'total_time_s': 48.079803705215454, 'http_queue_latency_s': 8.225440979003906e-05}
2026-03-02 21:13:49,980 - root - INFO - [Worker-0/PID-24814] - [825247200] {'request_id': 825247200, 'input_seq_len': 651, 'output_seq_len': 2106, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.276450', 'http_post_time': '2026-03-02 21:13:01.276490', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:49.979953', 'zmq_push_time': '2026-03-02 21:13:49.979953', 'total_time_s': 48.703502893447876, 'http_queue_latency_s': 3.981590270996094e-05}
2026-03-02 21:13:50,444 - root - INFO - [Worker-0/PID-24814] - [825272800] {'request_id': 825272800, 'input_seq_len': 608, 'output_seq_len': 2124, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.312257', 'http_post_time': '2026-03-02 21:13:01.313946', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:50.444671', 'zmq_push_time': '2026-03-02 21:13:50.444671', 'total_time_s': 49.13241362571716, 'http_queue_latency_s': 0.0016884803771972656}
