2026-02-27 22:20:23,273 - root - INFO - [Worker-0/PID-25321] - Worker 0 (PID: 25321) logging initialized
2026-02-27 22:20:23,274 - root - INFO - [Worker-0/PID-25321] - Worker 0 starting (PID: 25321)
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Worker 0 initialized successfully
2026-02-27 22:21:51,178 - root - INFO - [Worker-0/PID-25321] - [719614352] {'request_id': 719614352, 'input_seq_len': 537, 'output_seq_len': 1364, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.602424', 'http_post_time': '2026-02-27 22:21:19.602462', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:51.178435', 'zmq_push_time': '2026-02-27 22:21:51.178435', 'total_time_s': 31.576010942459106, 'http_queue_latency_s': 3.743171691894531e-05}
2026-02-27 22:21:52,234 - root - INFO - [Worker-0/PID-25321] - [719585168] {'request_id': 719585168, 'input_seq_len': 238, 'output_seq_len': 1420, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.546871', 'http_post_time': '2026-02-27 22:21:19.546917', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:52.234376', 'zmq_push_time': '2026-02-27 22:21:52.234376', 'total_time_s': 32.687504529953, 'http_queue_latency_s': 4.6253204345703125e-05}
2026-02-27 22:21:53,663 - root - INFO - [Worker-0/PID-25321] - [719621520] {'request_id': 719621520, 'input_seq_len': 248, 'output_seq_len': 1483, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.610656', 'http_post_time': '2026-02-27 22:21:19.610700', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:53.663719', 'zmq_push_time': '2026-02-27 22:21:53.663719', 'total_time_s': 34.05306315422058, 'http_queue_latency_s': 4.4345855712890625e-05}
2026-02-27 22:21:54,146 - root - INFO - [Worker-0/PID-25321] - [719510416] {'request_id': 719510416, 'input_seq_len': 288, 'output_seq_len': 1521, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.459686', 'http_post_time': '2026-02-27 22:21:19.462626', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:54.146068', 'zmq_push_time': '2026-02-27 22:21:54.146068', 'total_time_s': 34.68638205528259, 'http_queue_latency_s': 0.0029408931732177734}
2026-02-27 22:21:54,351 - root - INFO - [Worker-0/PID-25321] - [719549840] {'request_id': 719549840, 'input_seq_len': 570, 'output_seq_len': 1527, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.508695', 'http_post_time': '2026-02-27 22:21:19.510345', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:54.351063', 'zmq_push_time': '2026-02-27 22:21:54.351063', 'total_time_s': 34.84236764907837, 'http_queue_latency_s': 0.0016498565673828125}
2026-02-27 22:21:55,686 - root - INFO - [Worker-0/PID-25321] - [719534992] {'request_id': 719534992, 'input_seq_len': 522, 'output_seq_len': 1592, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.503839', 'http_post_time': '2026-02-27 22:21:19.506752', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:55.686492', 'zmq_push_time': '2026-02-27 22:21:55.686492', 'total_time_s': 36.182652950286865, 'http_queue_latency_s': 0.002913236618041992}
2026-02-27 22:21:55,720 - root - INFO - [Worker-0/PID-25321] - [719626128] {'request_id': 719626128, 'input_seq_len': 113, 'output_seq_len': 1582, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.616206', 'http_post_time': '2026-02-27 22:21:19.616238', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:55.720866', 'zmq_push_time': '2026-02-27 22:21:55.720866', 'total_time_s': 36.10466003417969, 'http_queue_latency_s': 3.1948089599609375e-05}
2026-02-27 22:21:55,887 - root - INFO - [Worker-0/PID-25321] - [719550352] {'request_id': 719550352, 'input_seq_len': 771, 'output_seq_len': 1600, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.508741', 'http_post_time': '2026-02-27 22:21:19.510418', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:55.887902', 'zmq_push_time': '2026-02-27 22:21:55.887902', 'total_time_s': 36.37916111946106, 'http_queue_latency_s': 0.0016772747039794922}
2026-02-27 22:21:55,975 - root - INFO - [Worker-0/PID-25321] - [719591312] {'request_id': 719591312, 'input_seq_len': 437, 'output_seq_len': 1599, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.583500', 'http_post_time': '2026-02-27 22:21:19.584907', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:55.975658', 'zmq_push_time': '2026-02-27 22:21:55.975658', 'total_time_s': 36.392157793045044, 'http_queue_latency_s': 0.0014066696166992188}
2026-02-27 22:21:56,310 - root - INFO - [Worker-0/PID-25321] - [719531408] {'request_id': 719531408, 'input_seq_len': 208, 'output_seq_len': 1622, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.503615', 'http_post_time': '2026-02-27 22:21:19.506373', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:56.309916', 'zmq_push_time': '2026-02-27 22:21:56.309916', 'total_time_s': 36.80630111694336, 'http_queue_latency_s': 0.002758026123046875}
